"Sens Factor =3.8092dB, AGain =18dB, SERNO: 7072823"
10.054	-6.1609
10.179	-5.9846
10.306	-5.8115
10.434	-5.6417
10.564	-5.4750
10.696	-5.3114
10.829	-5.1509
10.964	-4.9935
11.1	-4.8392
11.238	-4.6878
11.378	-4.5394
11.52	-4.3938
11.663	-4.2513
11.809	-4.1115
11.956	-3.9746
12.104	-3.8406
12.255	-3.7093
12.408	-3.5807
12.562	-3.4549
12.718	-3.3318
12.877	-3.2112
13.037	-3.0933
13.199	-2.9780
13.364	-2.8651
13.53	-2.7549
13.698	-2.6471
13.869	-2.5417
14.042	-2.4387
14.216	-2.3383
14.393	-2.2401
14.573	-2.1441
14.754	-2.0506
14.938	-1.9592
15.124	-1.8701
15.312	-1.7833
15.503	-1.6985
15.696	-1.6159
15.891	-1.5354
16.089	-1.4569
16.289	-1.3805
16.492	-1.3060
16.697	-1.2336
16.905	-1.1631
17.115	-1.0945
17.328	-1.0277
17.544	-0.9628
17.763	-0.8996
17.984	-0.8383
18.208	-0.7787
18.434	-0.7208
18.664	-0.6646
18.896	-0.6100
19.131	-0.5571
19.369	-0.5057
19.611	-0.4558
19.855	-0.4075
20.102	-0.3607
20.352	-0.3153
20.605	-0.2713
20.862	-0.2287
21.122	-0.1875
21.385	-0.1476
21.651	-0.1090
21.92	-0.0717
22.193	-0.0355
22.47	-0.0005
22.749	0.0332
23.032	0.0658
23.319	0.0974
23.609	0.1279
23.903	0.1574
24.201	0.1858
24.502	0.2133
24.807	0.2399
25.116	0.2655
25.429	0.2903
25.745	0.3143
26.066	0.3374
26.39	0.3598
26.719	0.3814
27.051	0.4023
27.388	0.4225
27.729	0.4421
28.074	0.4611
28.424	0.4795
28.778	0.4974
29.136	0.5147
29.499	0.5316
29.866	0.5480
30.238	0.5640
30.614	0.5796
30.995	0.5948
31.381	0.6097
31.772	0.6244
32.167	0.6387
32.568	0.6529
32.973	0.6668
33.383	0.6806
33.799	0.6943
34.22	0.7078
34.646	0.7213
35.077	0.7348
35.514	0.7474
35.956	0.7606
36.403	0.7741
36.857	0.7880
37.315	0.8021
37.78	0.8166
38.25	0.8314
38.726	0.8465
39.209	0.8622
39.697	0.8785
40.191	0.8953
40.691	0.9125
41.198	0.9295
41.711	0.9455
42.23	0.9600
42.756	0.9723
43.288	0.9821
43.827	0.9895
44.372	0.9947
44.925	0.9978
45.484	0.9992
46.05	0.9994
46.623	0.9987
47.204	0.9975
47.791	0.9962
48.386	0.9951
48.989	0.9946
49.599	0.9952
50.216	0.9973
50.841	1.0012
51.474	1.0073
52.115	1.0153
52.764	1.0251
53.42	1.0363
54.085	1.0485
54.759	1.0609
55.44	1.0731
56.131	1.0845
56.829	1.0950
57.537	1.1041
58.253	1.1120
58.978	1.1184
59.712	1.1233
60.456	1.1268
61.208	1.1288
61.97	1.1293
62.742	1.1282
63.523	1.1256
64.314	1.1215
65.114	1.1159
65.925	1.1088
66.745	1.1002
67.576	1.0907
68.418	1.0807
69.269	1.0709
70.132	1.0620
71.005	1.0544
71.889	1.0482
72.784	1.0434
73.69	1.0398
74.607	1.0370
75.536	1.0347
76.476	1.0324
77.428	1.0299
78.392	1.0266
79.368	1.0223
80.356	1.0167
81.356	1.0097
82.369	1.0011
83.394	0.9908
84.433	0.9787
85.484	0.9649
86.548	0.9497
87.625	0.9331
88.716	0.9155
89.82	0.8974
90.939	0.8790
92.071	0.8607
93.217	0.8427
